Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
      Baltimore,BALT1,  OCf,     78.00,      6.00,      6.00,      2.16,      2.72,      1.49,      1.45,      1.28,      2.43,      2.51,      2.45,      1.88,      1.13,      3.39,      2.19,      0.65,      1.88,      0.59,      1.01,      0.33,      1.52,      0.88,      1.21,      0.87,      0.77,      2.13,      1.54,
      Baltimore,BALT1, NO3f,     78.00,      6.00,      6.00,      2.72,      4.22,      3.70,      1.42,      1.32,      0.61,      0.46,      0.36,      0.30,      0.67,      2.14,      2.22,      1.14,      3.02,      2.71,      1.28,      1.05,      0.27,      0.36,      0.17,      0.17,      0.51,      1.23,      1.31,
      Baltimore,BALT1, SO4f,     78.00,      6.00,      6.00,      3.40,      3.96,      4.11,      3.80,      4.81,      6.33,      9.63,      8.99,      5.31,      2.64,      3.20,      3.12,      1.54,      2.11,      2.77,      3.15,      2.58,      3.71,      4.59,      4.97,      4.34,      1.53,      1.61,      1.00,
   Bandelier NM,BAND1, NH4f,     35.78,   -106.27,   1988.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Bandelier NM,BAND1,  ECf,     35.78,   -106.27,   1988.00,      0.16,      0.14,      0.08,      0.11,      0.13,      0.20,      0.16,      0.11,      0.18,      0.20,      0.21,      0.23,      0.05,      0.09,      0.04,      0.02,      0.05,      0.17,      0.10,      0.02,      0.05,      0.07,      0.12,      0.18,
   Bandelier NM,BAND1,  OCf,     35.78,   -106.27,   1988.00,      0.52,      0.46,      0.35,      0.37,      0.74,      1.38,      1.15,      0.85,      1.00,      0.86,      0.62,      0.53,      0.15,      0.20,      0.13,      0.13,      0.52,      1.31,      0.43,      0.23,      0.31,      0.31,      0.39,      0.33,
   Bandelier NM,BAND1, NO3f,     35.78,   -106.27,   1988.00,      0.14,      0.36,      0.18,      0.15,      0.10,      0.19,      0.12,      0.07,      0.08,      0.11,      0.07,      0.16,      0.09,      0.44,      0.15,      0.08,      0.06,      0.15,      0.08,      0.05,      0.05,      0.09,      0.03,      0.23,
   Bandelier NM,BAND1, SO4f,     35.78,   -106.27,   1988.00,      0.37,      0.46,      0.44,      0.64,      0.61,      1.22,      0.92,      0.93,      1.19,      0.92,      0.54,      0.21,      0.25,      0.27,      0.18,      0.20,      0.24,      0.55,      0.20,      0.43,      0.53,      0.76,      0.50,      0.08,
    Big Bend NP,BIBE1, NH4f,     29.30,   -103.18,   1066.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Big Bend NP,BIBE1,  ECf,     29.30,   -103.18,   1066.00,      0.22,      0.12,      0.11,      0.13,      0.26,      0.23,      0.12,      0.15,      0.16,      0.19,      0.12,      0.16,      0.14,      0.07,      0.07,      0.08,      0.13,      0.10,      0.07,      0.13,      0.09,      0.12,      0.07,      0.07,
    Big Bend NP,BIBE1,  OCf,     29.30,   -103.18,   1066.00,      0.72,      0.36,      0.62,      0.59,      1.12,      1.05,      0.50,      0.65,      0.85,      0.87,      0.60,      0.54,      0.38,      0.25,      0.50,      0.39,      0.68,      0.48,      0.28,      0.49,      0.47,      0.44,      0.35,      0.30,
