Site,ID, Lat,Lon,Elev,Species,JanMean,FebMean,MarMean,AprMean,MayMean,JunMean,JulMean,AugMean,SepMean,OctMean,NovMean,DecMean,JanStd,FebStd,MarStd,AprStd,MayStd,JunStd,JulyStd,AugStd,SepStd,OctStd,NovStd,DecStd
Rocky Mountain ,ROMO1,  OCf,     40.28,   -105.55,   2760.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
Rocky Mountain ,ROMO1, NO3f,     40.28,   -105.55,   2760.00,      0.37,      0.82,      0.36,      0.77,      0.39,      0.21,      0.20,      0.10,      0.26,      0.17,      0.05,      0.12,      0.53,   -999.00,      0.45,      0.75,      0.47,      0.18,      0.16,      0.05,      0.23,      0.35,      0.05,      0.17,
Rocky Mountain ,ROMO1, SO4f,     40.28,   -105.55,   2760.00,      0.30,      0.52,      0.52,      0.94,      0.74,      0.91,      0.97,      0.74,      0.58,      0.43,      0.28,      0.23,      0.26,   -999.00,      0.21,      0.61,      0.35,      0.27,      0.31,      0.13,      0.20,      0.30,      0.17,      0.23,
       Rubidoux,RUBI1, NH4f,    247.00,      9.00,      9.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Rubidoux,RUBI1,  ECf,    247.00,      9.00,      9.00,      2.17,      1.03,      1.24,      1.16,      1.37,      1.12,      1.69,      1.69,   -999.00,   -999.00,   -999.00,   -999.00,      1.23,      0.57,      0.91,      0.86,      0.73,      0.50,      1.04,      0.48,   -999.00,   -999.00,   -999.00,   -999.00,
       Rubidoux,RUBI1,  OCf,    247.00,      9.00,      9.00,      3.64,      2.18,      2.47,      2.56,      2.65,      2.54,      3.67,      3.39,   -999.00,   -999.00,   -999.00,   -999.00,      2.50,      0.85,      1.63,      1.62,      1.37,      0.83,      1.74,      0.82,   -999.00,   -999.00,   -999.00,   -999.00,
       Rubidoux,RUBI1, NO3f,    247.00,      9.00,      9.00,      3.79,      4.56,      7.64,      5.13,      8.98,      6.60,      6.42,      7.03,   -999.00,   -999.00,   -999.00,   -999.00,      4.97,      4.53,      6.57,      4.16,      5.00,      6.08,      3.11,      3.11,   -999.00,   -999.00,   -999.00,   -999.00,
       Rubidoux,RUBI1, SO4f,    247.00,      9.00,      9.00,      0.70,      1.01,      1.88,      2.02,      3.79,      3.44,      5.31,      5.37,   -999.00,   -999.00,   -999.00,   -999.00,      0.69,      0.79,      1.19,      0.98,      1.97,      2.38,      1.14,      1.20,   -999.00,   -999.00,   -999.00,   -999.00,
     San Andres,SAAN1, NH4f,     32.69,   -106.48,   1326.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     San Andres,SAAN1,  ECf,     32.69,   -106.48,   1326.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     San Andres,SAAN1,  OCf,     32.69,   -106.48,   1326.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     San Andres,SAAN1, NO3f,     32.69,   -106.48,   1326.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     San Andres,SAAN1, SO4f,     32.69,   -106.48,   1326.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Salt Creek,SACR1, NH4f,     33.46,   -104.40,   1072.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Salt Creek,SACR1,  ECf,     33.46,   -104.40,   1072.00,      0.25,      0.19,      0.09,      0.20,      0.20,      0.20,      0.16,      0.17,      0.29,      0.24,      0.23,      0.20,      0.17,      0.09,      0.04,      0.13,      0.08,      0.07,      0.07,      0.08,      0.06,      0.09,      0.13,      0.15,
     Salt Creek,SACR1,  OCf,     33.46,   -104.40,   1072.00,      0.50,      0.37,      0.62,      0.90,      1.01,      1.09,      1.09,      0.80,      1.21,      0.95,      1.07,      0.72,      0.32,      0.18,      0.55,      0.67,      0.50,      0.44,      0.29,      0.31,      0.42,      0.31,      0.83,      0.38,
     Salt Creek,SACR1, NO3f,     33.46,   -104.40,   1072.00,      1.30,      1.31,      0.49,      0.37,      0.48,      0.26,      0.29,      0.27,      0.34,      0.56,      0.27,      0.90,      1.80,      0.93,      0.23,      0.21,      0.38,      0.13,      0.19,      0.09,      0.12,      0.38,      0.34,      0.83,
     Salt Creek,SACR1, SO4f,     33.46,   -104.40,   1072.00,      1.05,      1.07,      0.79,      1.57,      2.06,      2.84,      1.97,      1.75,      3.07,      1.30,      0.60,      0.81,      0.98,      0.86,      0.36,      1.54,      1.52,      1.01,      0.66,      1.10,      1.43,      0.89,      0.32,      1.02,
    Sac and Fox,SAFO1, NH4f,    293.00,      6.00,      6.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Sac and Fox,SAFO1,  ECf,    293.00,      6.00,      6.00,      0.39,      0.34,      0.45,      0.53,      0.34,      0.44,      0.44,      0.36,      0.50,      0.47,      0.36,      0.31,      0.22,      0.12,      0.25,      0.55,      0.19,      0.25,      0.22,      0.18,      0.21,      0.19,      0.16,      0.23,
    Sac and Fox,SAFO1,  OCf,    293.00,      6.00,      6.00,      1.09,      0.85,      1.87,      2.11,      1.01,      1.91,      1.57,      1.37,      2.05,      1.55,      1.21,      0.80,      0.49,      0.47,      1.31,      2.37,      0.56,      1.40,      0.65,      0.62,      1.14,      0.72,      0.96,      0.51,
    Sac and Fox,SAFO1, NO3f,    293.00,      6.00,      6.00,      5.81,      4.87,      3.66,      1.49,      0.56,      0.24,      0.26,      0.32,      0.44,      0.87,      1.54,      3.27,      3.90,      2.23,      2.76,      1.19,      0.46,      0.09,      0.10,      0.12,      0.14,      0.64,      1.50,      3.15,
    Sac and Fox,SAFO1, SO4f,    293.00,      6.00,      6.00,      2.48,      2.17,      2.54,      2.87,      2.49,      4.27,      3.99,      3.24,      4.39,      1.78,      1.23,      1.63,      1.68,      1.04,      1.53,      1.81,      1.33,      3.92,      3.52,      2.47,      3.51,      1.43,      0.90,      0.87,
    San Gabriel,SAGA1, NH4f,     34.30,   -118.03,   1791.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    San Gabriel,SAGA1,  ECf,     34.30,   -118.03,   1791.00,      0.05,      0.18,      0.19,      0.28,      0.26,      0.30,      0.41,      0.37,      0.25,      0.33,      0.15,      0.18,      0.04,      0.15,      0.26,      0.19,      0.11,      0.08,      0.13,      0.25,      0.19,      0.31,      0.15,      0.15,
    San Gabriel,SAGA1,  OCf,     34.30,   -118.03,   1791.00,      0.25,      0.49,      0.54,      0.82,      1.00,      0.99,      1.58,      1.11,      0.97,      1.17,      0.41,      0.48,      0.13,      0.22,      0.33,      0.52,      0.52,      0.27,      0.55,      0.70,      0.68,      1.03,      0.33,      0.32,
    San Gabriel,SAGA1, NO3f,     34.30,   -118.03,   1791.00,      0.17,      1.73,      1.32,      1.86,      1.23,      1.16,      0.72,      0.43,      0.85,      1.06,      0.47,      0.70,      0.17,      1.14,      1.64,      1.32,      0.91,      0.84,      0.60,      0.28,      0.86,      0.99,      0.62,      1.32,
    San Gabriel,SAGA1, SO4f,     34.30,   -118.03,   1791.00,      0.25,      0.43,      0.65,      1.29,      1.44,      1.42,      2.29,      1.93,      1.21,      1.07,      0.49,      0.24,      0.21,      0.24,      0.35,      0.71,      0.65,      0.54,      0.68,      0.84,      0.77,      0.54,      0.53,      0.16,
San Gorgonio Wi,SAGO1, NH4f,     34.19,   -116.91,   1726.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
San Gorgonio Wi,SAGO1,  ECf,     34.19,   -116.91,   1726.00,      0.09,      0.15,      0.21,      0.29,      0.44,      0.52,      0.59,      0.56,      0.38,      0.39,      0.17,      0.19,      0.09,      0.15,      0.16,      0.14,      0.18,      0.18,      0.28,      0.24,      0.25,      0.44,      0.18,      0.18,
San Gorgonio Wi,SAGO1,  OCf,     34.19,   -116.91,   1726.00,      0.32,      0.49,      0.58,      0.69,      1.25,      1.47,      2.01,      1.59,      1.03,      1.44,      0.38,      0.30,      0.20,      0.44,      0.23,      0.36,      0.46,      0.38,      0.66,      0.59,      0.48,      2.31,      0.23,      0.15,
San Gorgonio Wi,SAGO1, NO3f,     34.19,   -116.91,   1726.00,      0.22,      1.07,      1.97,      2.40,      3.74,      2.71,      1.44,      1.97,      2.19,      1.75,      0.74,      0.58,      0.23,      1.60,      2.38,      1.66,      2.62,      1.62,      1.01,      1.81,      1.74,      1.99,      1.18,      0.80,
San Gorgonio Wi,SAGO1, SO4f,     34.19,   -116.91,   1726.00,      0.27,      0.41,      0.65,      1.35,      1.39,      1.87,      2.24,      2.07,      0.99,      0.87,      0.49,      0.24,      0.35,      0.39,      0.34,      0.67,      0.60,      0.73,      0.68,      0.94,      0.54,      0.47,      0.51,      0.12,
   San Gorgonio,SAGO5, NH4f,     34.19,   -116.91,   1720.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   San Gorgonio,SAGO5,  ECf,     34.19,   -116.91,   1720.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   San Gorgonio,SAGO5,  OCf,     34.19,   -116.91,   1720.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   San Gorgonio,SAGO5, NO3f,     34.19,   -116.91,   1720.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   San Gorgonio,SAGO5, SO4f,     34.19,   -116.91,   1720.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Saguaro NM,SAGU1, NH4f,     32.17,   -110.74,    941.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Saguaro NM,SAGU1,  ECf,     32.17,   -110.74,    941.00,      0.29,      0.15,      0.20,      0.16,      0.22,      0.21,      0.21,      0.22,      0.21,      0.22,      0.31,      0.36,      0.13,      0.07,      0.08,      0.05,      0.07,      0.12,      0.08,      0.07,      0.12,      0.08,      0.11,      0.11,
     Saguaro NM,SAGU1,  OCf,     32.17,   -110.74,    941.00,      0.57,      0.42,      0.66,      0.68,      0.96,      1.06,      1.17,      0.74,      0.78,      0.78,      0.81,      0.71,      0.27,      0.15,      0.20,      0.32,      0.56,      0.33,      0.43,      0.16,      0.27,      0.32,      0.27,      0.29,
     Saguaro NM,SAGU1, NO3f,     32.17,   -110.74,    941.00,      0.66,      0.31,      0.42,      0.28,      0.34,      0.24,      0.22,      0.21,      0.18,      0.22,      0.21,      0.47,      0.68,      0.25,      0.43,      0.11,      0.19,      0.09,      0.07,      0.07,      0.12,      0.15,      0.10,      0.51,
     Saguaro NM,SAGU1, SO4f,     32.17,   -110.74,    941.00,      0.58,      0.66,      0.66,      0.90,      1.38,      1.58,      1.35,      1.39,      1.46,      1.16,      0.99,      0.42,      0.42,      0.39,      0.24,      0.42,      0.63,      0.60,      0.41,      0.48,      0.70,      0.58,      0.98,      0.19,
      Salmon NF,SALM1, NH4f,     45.16,   -114.03,   2788.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Salmon NF,SALM1,  ECf,     45.16,   -114.03,   2788.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Salmon NF,SALM1,  OCf,     45.16,   -114.03,   2788.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Salmon NF,SALM1, NO3f,     45.16,   -114.03,   2788.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      Salmon NF,SALM1, SO4f,     45.16,   -114.03,   2788.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      St. Marks,SAMA1, NH4f,     30.09,    -84.16,      7.00,      0.68,      0.53,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,      0.42,      0.19,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
      St. Marks,SAMA1,  ECf,     30.09,    -84.16,      7.00,      0.44,      0.38,      0.31,      0.27,      0.41,      0.27,      0.23,      0.24,      0.36,   -999.00,   -999.00,      0.49,      0.20,      0.39,      0.33,      0.10,      0.22,      0.22,      0.18,      0.12,      0.21,   -999.00,   -999.00,      0.22,
      St. Marks,SAMA1,  OCf,     30.09,    -84.16,      7.00,      1.58,      1.57,      1.39,      1.27,      1.67,      1.39,      1.11,      1.11,      1.74,   -999.00,   -999.00,      1.76,      0.65,      1.58,      1.18,      0.41,      0.97,      0.85,      0.89,      0.43,      1.13,   -999.00,   -999.00,      0.63,
      St. Marks,SAMA1, NO3f,     30.09,    -84.16,      7.00,      0.51,      0.43,      0.31,      0.40,      0.22,      0.31,      0.27,      0.17,      0.21,      0.14,      0.27,      0.45,      0.38,      0.23,      0.19,      0.25,      0.09,      0.17,      0.17,      0.09,      0.15,      0.06,      0.15,      0.31,
      St. Marks,SAMA1, SO4f,     30.09,    -84.16,      7.00,      2.63,      2.24,      2.52,      2.38,      5.61,      3.99,      4.52,      5.24,      7.25,      3.84,      2.77,      2.00,      1.37,      0.71,      1.13,      0.95,      2.21,      2.43,      3.86,      2.74,      5.94,      1.72,      2.05,      0.78,
San Pedro Parks,SAPE1, NH4f,     36.01,   -106.84,   2935.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
San Pedro Parks,SAPE1,  ECf,     36.01,   -106.84,   2935.00,      0.04,      0.03,      0.05,      0.06,      0.09,      0.25,      0.14,      0.07,      0.07,      0.11,      0.12,      0.04,      0.03,      0.02,      0.04,      0.04,      0.05,      0.46,      0.10,      0.01,      0.03,      0.06,      0.10,      0.03,
San Pedro Parks,SAPE1,  OCf,     36.01,   -106.84,   2935.00,      0.13,      0.13,      0.31,      0.28,      0.47,      0.96,      0.95,      0.51,      0.53,      0.67,      0.52,      0.13,      0.06,      0.10,      0.27,      0.21,      0.27,      1.01,      0.51,      0.26,      0.29,      0.48,      0.47,      0.13,
San Pedro Parks,SAPE1, NO3f,     36.01,   -106.84,   2935.00,      0.10,      0.05,      0.14,      0.21,      0.16,      0.28,      0.18,      0.07,      0.10,      0.12,      0.08,      0.05,      0.05,   -999.00,      0.08,      0.12,      0.07,      0.19,      0.12,      0.05,      0.06,      0.09,      0.08,      0.08,
San Pedro Parks,SAPE1, SO4f,     36.01,   -106.84,   2935.00,      0.25,      0.22,      0.36,      0.73,      0.71,      1.18,      0.83,      0.77,      0.89,      0.71,      0.56,      0.15,      0.17,   -999.00,      0.16,      0.32,      0.17,      0.54,      0.25,      0.33,      0.41,      0.45,      0.66,      0.10,
   Saguaro West,SAWE1, NH4f,     32.25,   -111.22,    714.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
   Saguaro West,SAWE1,  ECf,     32.25,   -111.22,    714.00,      0.42,      0.21,      0.22,      0.18,      0.21,      0.20,      0.19,      0.19,      0.21,      0.24,      0.37,      0.42,      0.13,      0.15,      0.15,      0.09,      0.06,      0.08,      0.07,      0.04,      0.09,      0.09,      0.13,      0.13,
   Saguaro West,SAWE1,  OCf,     32.25,   -111.22,    714.00,      0.81,      0.48,      0.67,      0.62,      1.02,      0.89,      0.95,      0.62,      1.18,      0.89,      1.04,      0.97,      0.26,      0.25,      0.29,      0.33,      0.55,      0.36,      0.37,      0.09,      0.36,      0.22,      0.35,      0.34,
   Saguaro West,SAWE1, NO3f,     32.25,   -111.22,    714.00,      0.99,      0.41,      0.49,      0.29,      0.33,      0.23,      0.18,      0.17,      0.20,      0.22,      0.25,      0.55,      1.02,      0.24,      0.48,      0.11,      0.17,      0.10,      0.05,      0.08,      0.12,      0.14,      0.08,      0.52,
   Saguaro West,SAWE1, SO4f,     32.25,   -111.22,    714.00,      0.63,      0.71,      0.68,      0.95,      1.40,      1.60,      1.33,      1.58,      1.55,      1.12,      1.06,      0.52,      0.43,      0.44,      0.24,      0.44,      0.61,      0.57,      0.40,      0.67,      0.69,      0.55,      1.00,      0.23,
    Sawtooth NF,SAWT1, NH4f,     44.17,   -114.93,   1990.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
    Sawtooth NF,SAWT1,  ECf,     44.17,   -114.93,   1990.00,      0.18,      0.15,      0.05,      0.10,      0.09,      0.12,      0.20,      0.23,      0.48,      0.20,      0.19,      0.15,      0.08,      0.07,      0.04,      0.05,      0.04,      0.05,      0.08,      0.09,      0.50,      0.08,      0.11,      0.10,
    Sawtooth NF,SAWT1,  OCf,     44.17,   -114.93,   1990.00,      0.86,      0.71,      0.42,      0.40,      0.67,      0.88,      1.79,      1.71,      2.82,      1.23,      0.84,      0.69,      0.38,      0.18,      0.22,      0.14,      0.38,      0.41,      0.57,      0.66,      3.21,      0.48,      0.37,      0.33,
    Sawtooth NF,SAWT1, NO3f,     44.17,   -114.93,   1990.00,      0.05,      0.04,      0.03,      0.08,      0.04,      0.03,      0.05,      0.05,      0.11,      0.06,      0.04,      0.04,      0.05,      0.02,      0.02,      0.05,      0.02,      0.02,      0.04,      0.01,      0.14,      0.04,      0.02,      0.03,
    Sawtooth NF,SAWT1, SO4f,     44.17,   -114.93,   1990.00,      0.20,      0.18,      0.23,      0.55,      0.40,      0.43,      0.43,      0.39,      0.38,      0.28,      0.19,      0.09,      0.15,      0.10,      0.13,      0.26,      0.27,      0.38,      0.16,      0.11,      0.20,      0.08,      0.11,      0.05,
       Scoville,SCOV1, NH4f,     43.65,   -113.03,   1500.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Scoville,SCOV1,  ECf,     43.65,   -113.03,   1500.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Scoville,SCOV1,  OCf,     43.65,   -113.03,   1500.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Scoville,SCOV1, NO3f,     43.65,   -113.03,   1500.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
       Scoville,SCOV1, SO4f,     43.65,   -113.03,   1500.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          Seney,SENE1, NH4f,     46.29,    -85.95,    214.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
          Seney,SENE1,  ECf,     46.29,    -85.95,    214.00,      0.13,      0.19,      0.14,      0.24,      0.23,      0.40,      0.29,      0.52,      0.34,      0.24,      0.22,      0.16,      0.08,      0.20,      0.13,      0.24,      0.16,      0.24,      0.12,      0.72,      0.26,      0.25,      0.25,      0.09,
          Seney,SENE1,  OCf,     46.29,    -85.95,    214.00,      0.55,      0.76,      0.54,      0.90,      1.04,      1.99,      1.77,      3.26,      1.34,      0.99,      0.79,      0.59,      0.28,      0.63,      0.43,      0.89,      0.42,      1.11,      0.71,      4.08,      0.83,      0.77,      1.05,      0.27,
          Seney,SENE1, NO3f,     46.29,    -85.95,    214.00,      0.76,      2.04,      0.54,      0.37,      0.36,      0.20,      0.13,      0.14,      0.22,      0.28,      0.84,      0.75,      0.72,      3.64,      0.86,      0.55,      0.40,      0.07,      0.05,      0.14,      0.20,      0.43,      1.34,      0.74,
          Seney,SENE1, SO4f,     46.29,    -85.95,    214.00,      1.47,      2.19,      1.51,      1.92,      1.85,      4.32,      3.17,      1.65,      2.98,      1.69,      0.99,      1.11,      0.86,      2.11,      1.19,      2.30,      1.85,      3.81,      2.90,      2.16,      3.53,      2.32,      0.59,      0.97,
     Sequoia NP,SEQU1, NH4f,     36.49,   -118.83,    519.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,   -999.00,
     Sequoia NP,SEQU1,  ECf,     36.49,   -118.83,    519.00,      0.20,      0.24,      0.20,      0.23,      0.42,      0.33,      0.67,      0.50,      0.55,      0.45,      0.48,      0.28,      0.12,      0.20,      0.13,      0.14,      0.20,      0.07,      0.19,      0.09,      0.23,      0.18,      0.19,      0.17,
     Sequoia NP,SEQU1,  OCf,     36.49,   -118.83,    519.00,      0.64,      1.12,      1.15,      1.29,      2.48,      1.98,      4.01,      2.49,      2.98,      2.41,      1.95,      0.95,      0.38,      0.75,      0.79,      1.01,      1.18,      0.67,      1.32,      0.48,      1.17,      0.90,      0.52,      0.30,
     Sequoia NP,SEQU1, NO3f,     36.49,   -118.83,    519.00,      0.67,      2.79,      1.37,      0.58,      0.96,      0.72,      0.45,      0.43,      0.86,      1.29,      4.16,      2.65,      1.03,      3.75,      1.39,      0.37,      0.96,      0.28,      0.28,      0.43,      0.50,      1.25,      3.01,      3.10,
     Sequoia NP,SEQU1, SO4f,     36.49,   -118.83,    519.00,      0.38,      0.77,      0.95,      1.03,      2.12,      2.57,      2.96,      1.71,      1.39,      1.03,      0.87,      0.42,      0.41,      0.60,      0.64,      0.46,      0.87,      1.15,      0.76,      0.31,      0.34,      0.48,      0.42,      0.31,
